Time,Value
2013-01-06,-0.324018053406836
2013-01-13,1.7454992460769827
2013-01-20,1.9777077672192125
2013-01-27,3.2588934067646376
2013-02-03,3.321744336636127
2013-02-10,3.898730010326609
2013-02-17,4.889127882227773
2013-02-24,5.432051083916685
2013-03-03,6.667417624900762
2013-03-10,6.943618717295321
2013-03-17,8.672485290799091
2013-03-24,7.675809565365598
2013-03-31,9.307393428673377
2013-04-07,9.06540241144575
2013-04-14,9.313433640566979
2013-04-21,9.478261379944398
2013-04-28,9.276523525764702
2013-05-05,9.715099344836592
2013-05-12,9.08040354397451
2013-05-19,9.955422934862902
2013-05-26,9.939798450638953
2013-06-02,9.143240106940896
2013-06-09,9.284309796499366
2013-06-16,8.331387213033114
2013-06-23,9.026300037254728
2013-06-30,8.464344781976568
2013-07-07,7.264767055099247
2013-07-14,8.059804479034035
2013-07-21,7.691909083316839
2013-07-28,7.346502374282582
2013-08-04,7.03228252034487
2013-08-11,6.004688073503363
2013-08-18,6.717888206467201
2013-08-25,5.6704461281072795
2013-09-01,6.580973021001762
2013-09-08,5.686870821086911
2013-09-15,6.9239600756790285
2013-09-22,6.318556907099885
2013-09-29,6.674924928579279
2013-10-06,7.643983844661715
2013-10-13,7.336164295360058
2013-10-20,7.5419563306292225
2013-10-27,8.434394698964361
2013-11-03,8.97372593863798
2013-11-10,8.853282367555916
2013-11-17,10.129113704329002
2013-11-24,9.849650968298446
2013-12-01,11.40854964825718
2013-12-08,12.11896961293052
2013-12-15,12.747520185180974
2013-12-22,14.018781124305177
2013-12-29,14.549632669961628
2014-01-05,16.413329950541115
2014-01-12,16.749999544501424
2014-01-19,17.489194947594015
2014-01-26,18.320680724630417
2014-02-02,18.775271560818112
2014-02-09,19.192924919254686
2014-02-16,20.75970874796293
2014-02-23,21.387350081365962
2014-03-02,22.479292906271976
2014-03-09,22.067009568366654
2014-03-16,23.518065447262238
2014-03-23,23.116971531315286
2014-03-30,24.068207362479484
2014-04-06,24.26966149907318
2014-04-13,25.320229938139764
2014-04-20,25.13923586517808
2014-04-27,24.9037422350553
2014-05-04,25.359611853815156
2014-05-11,25.38280586587944
2014-05-18,25.109872919951258
2014-05-25,24.28185035613607
2014-06-01,25.007667252480566
2014-06-08,24.38304640724289
2014-06-15,23.83613870452159
2014-06-22,23.310689232489587
2014-06-29,23.638675757346984
2014-07-06,23.343260950886968
2014-07-13,23.451066225711926
2014-07-20,22.032754965368305
2014-07-27,22.706237520904654
2014-08-03,22.503787803463545
2014-08-10,22.690335253642406
2014-08-17,22.36090721496257
2014-08-24,21.96221177793031
2014-08-31,22.2751961138137
2014-09-07,21.293666319237737
2014-09-14,22.248826627752962
2014-09-21,22.693730548870427
2014-09-28,22.108294458318195
2014-10-05,21.911129794510085
2014-10-12,22.347190008433582
2014-10-19,22.402493734979622
2014-10-26,23.623350960802576
2014-11-02,24.23750943886472
2014-11-09,24.931949479752312
2014-11-16,25.920621223129785
2014-11-23,25.80943249526788
2014-11-30,26.947406603029616
2014-12-07,27.706307834410115
2014-12-14,28.295011287863215
2014-12-21,29.204967543294405
2014-12-28,30.49596152711586
2015-01-04,31.580667118789712
2015-01-11,31.77800679117315
2015-01-18,33.97642624380983
2015-01-25,33.914138760078416
2015-02-01,35.278106204851355
2015-02-08,35.51455921163213
2015-02-15,36.63910618345369
2015-02-22,36.53350595338323
2015-03-01,38.31043478262887
2015-03-08,37.846507530143974
2015-03-15,38.741218879891775
2015-03-22,39.02167859692481
2015-03-29,39.69070456138943
2015-04-05,39.57564194055359
2015-04-12,40.359157707018255
2015-04-19,40.477670329248575
2015-04-26,40.67720657790465
2015-05-03,40.77055136736486
2015-05-10,41.122168703698144
2015-05-17,40.50937107519998
2015-05-24,40.5924954353962
2015-05-31,39.82811306843653
2015-06-07,40.43334122776023
2015-06-14,39.533291428349216
2015-06-21,39.16512072345375
2015-06-28,39.03897272245824
2015-07-05,38.861687342299696
2015-07-12,38.786525878768096
2015-07-19,38.255773736037945
2015-07-26,38.59046909519039
2015-08-02,37.503808130469494
2015-08-09,37.94722230278384
2015-08-16,37.35031282464401
2015-08-23,36.44449240315429
2015-08-30,36.95899864752674
2015-09-06,37.754477850683195
2015-09-13,37.76802482203294
2015-09-20,37.00166998729987
2015-09-27,36.851612564724256
2015-10-04,37.9859152347278
